ဒဂတ,၁၂/
ဒဂဆ,၁၂/
ဒလန,၁၂/
ပဇတ,၁၂/
ပဘတ,၁၂/
ဗတထ,၁၂/
ဗဟန,၁၂/
မရက,၁၂/
မဂဒ,၁၂/
မဘန,၁၂/
မဂတ,၁၂/
ရကန,၁၂/
ရပသ,၁၂/
လမတ,၁၂/
လသန,၁၂/
လမန,၁၂/
လကန,၁၂/
လသယ,၁၂/
သဃက,၁၂/
သလန,၁၂/
သခန,၁၂/
သကတ,၁၂/
အစန,၁၂/
အလန,၁၂/
ဥကတ,၁၂/
ဥကမ,၁၂/
ကလန,၁၃/
ကတလ,၁၃/
ကဟန,၁၃/
ကသန,၁၃/
ကလဒ,၁၃/
ကတတ,၁၃/
ကလတ,၁၃/
ကခန,၁၃/
ကမန,၁၃/
ကကန,၁၃/
ကတန,၁၃/
ကလထ,၁၃/
ခလန,၁၃/
ခရဟ,၁၃/
ဆဆန,၁၃/
ညရန,၁၃/
တကန,၁၃/
တယန,၁၃/
တခလ,၁၃/
တလန,၁၃/
တမည,၁၃/
တတန,၁၃/
နတရ,၁၃/
နစန,၁၃/
နဖန,၁၃/
နခန,၁၃/
နခတ,၁၃/
နမတ,၁၃/
နဆန,၁၃/
နတန,၁၃/
ပတယ,၁၃/
ပဝန,၁၃/
ပလန,၁၃/
ပယန,၁၃/
ပလတ,၁၃/
ပဆန,၁၃/
ပဆတ,၁၃/
ပလထ,၁၃/
ပပက,၁၃/
ဖခန,၁၃/
မကန,၁၃/
မရန,၁၃/
မနတ,၁၃/
မနန,၁၃/
မမန,၁၃/
မပန,၁၃/
မစန,၁၃/
မရတ,၁၃/
မဖတ,၁၃/
မကထ,၁၃/
မဆတ,၁၃/
မထတ,၁၃/
မလန,၁၃/
မယန,၁၃/
မပထ,၁၃/
မခန,၁၃/
မပတ,၁၃/
မတတ,၁၃/
မငန,၁၃/
မလတ,၁၃/
မမတ,၁၃/
မဘန,၁၃/
မဟရ,၁၃/
မမထ,၁၃/
မဆန,၁၃/
မခတ,၁၃/
မတန,၁၃/
မကတ,၁၃/
မထန,၁၃/
မဖန,၁၃/
