အမြဲတမ်းအတွင်းဝန်
တာဝန်ခံညွှန်ကြားရေးမှူးချုပ်
ဦးဆောင်ညွှန်ကြားရေးမှူး
ရဲချုပ်(ဒုတိယရဲဗိုလ်ချုပ်ကြီး)
သံအမတ်ကြီး
ပါမောက္ခချုပ်
ကျောင်းအုပ်ကြီး
ပျံသန်းရေးဌာနမှူးချုပ်
ဒုတိယပျံသန်းရေးဌာနမှူးချုပ်
လေယာဉ်မှူးချုပ်
လေယာဉ်မှူးကြီး
ဌာနကြီးမှူး
ဆေးရုံအုပ်ကြီး
ဒုတိယအမြဲတမ်းအတွင်းဝန်
ဒုတိယဦးဆောင်ညွှန်ကြားရေးမှူး
အထွေထွေမန်နေဂျာ
ဒုတိယရဲချုပ်(ရဲဗိုလ်ချုပ်)
ရဲမှူးချုပ်
သံအမတ်
ဒုတိယပါမောက္ခချုပ်
ပါမောက္ခ
ကျောင်းအုပ်ကြီး
ဒုတိယကျောင်းအုပ်ကြီး
အင်ဂျင်နီယာချုပ်
စစ်ဆေးရေးအရာရှိချုပ်
စက်ရုံမှူး
လက်ထောက်အတွင်းဝန်
ဒုတိယအထွေထွေမန်နေဂျာ
ဌာနကြီးမှူး
ဌာနမှူး
ဒုတိယဌာနမှူး
ဒုတိယပါမောက္ခချုပ်
တွဲဖက်ပါမောက္ခ
ရဲမှူးကြီး
သံမှူးကြီး
ကောင်စစ်ဝန်ချုပ်
ကျောင်းအုပ်ကြီး
ဒုတိယကျောင်းအုပ်ကြီး
ဆေးရုံအုပ်ကြီး
လက်ထောက်အထွေထွေမန်နေဂျာ
မန်နေဂျာ 
ဌာနမှူး
လက်ထောက်ဌာနမှူး
ဒုတိယဌာနမှူး
ဒုတိယရဲမှူးကြီး
သံမှူး
ဒုတိယပါမောက္ခ
ကထိက
အထူးကုဆရာဝန်ကြီး
အတိုင်ပင်ခံအထူးကုဆရာဝန်ကြီး
ဒု-လက်ထောက်ညွှန်ကြားရေးမှူး
မန်နေဂျာ 
ဌာနခွဲမှူး
ရဲမှူး
ပထမအတွင်းဝန်
ကထိက
ဒုတိယကျောင်းအုပ်ကြီး
မော်ကွန်းထိန်း
မြို့နယ်ပညာရေးမှူး
ဆေးရုံအုပ်
ဒုတိယဆေးရုံအုပ်
ဆရာဝန်ကြီး
အထူးကုဆရာဝန်
အတိုင်ပင်ခံအထူးကုဆရာဝန်
သူနာပြုအုပ်ကြီး
အင်ဂျင်နီယာမှူး
ကိုယ်ရေးအရာရှိ
ဒုတိယရဲမှူးကြီး
ဌာနစုမှူး(၁)
လက်ထောက်မန်နေဂျာ
ဌာနမှူး
ဌာနခွဲမှူး
ဌာနစုမှူး
ဌာနစုမှူး(၂)
ဒုတိယအတွင်းဝန်
တတိယအတွင်းဝန်
လက်ထောက်ကထိက
ဒုတိယမြို့နယ်ပညာရေးမှူး
ကျောင်းအုပ်
ဒုတိယကျောင်းအုပ်
အထက်တန်းကျောင်းအုပ်ကြီး
အလယ်တန်းကျောင်းအုပ်ကြီး
မော်ကွန်းထိန်း
လက်ထောက်မော်ကွန်းထိန်း
လေယာဉ်မှူး
ဌာနမှူး
တွဲဖက်ဌာနမှူး
အင်ဂျင်နီယာချုပ်
ဒုတိယအင်ဂျင်နီယာချုပ်
အင်ဂျင်နီယာမှူးကြီး
စက်ရုံမှူး
ဒုတိယစက်ရုံမှူး
ရေကြောင်းဌာနမှူးချုပ်
ရေကြောင်းပြမှူးကြီး
ရေယာဉ်မှူးကြီး
ရေယာဉ်ဗိသုကာချုပ်
ဆိပ်ကမ်းအရာရှိချုပ်
ဒုတိယ‌ရေကြောင်းဌာနမှူးချုပ်
ဘူမိဗေဒအရာရှိချုပ်
ဘူမိရူပဗေဒအရာရှိချုပ်
သုတေသနအရာရှိချုပ်
ဒုတိယစစ်ဆေးရေးအရာရှိချုပ်
သုတေသနမှူး
စာရင်းကိုင်ချုပ်
စာတည်းမှူးချုပ်
စာကြည့်တိုက်မှူး
ဒုတိယမြို့ပြအင်ဂျင်နီယာချုပ်
အင်ဂျင်နီယာမှူးကြီး
ဒုတိယအင်ဂျင်နီယာမှူးကြီး
လက်ထောက်စက်ရုံမှူး
ရေယာဉ်အင်ဂျင်နီယာ
ရေယာဉ်မှူးကြီး
ဒုတိယရေယာဉ်မှူးကြီး
ဆိပ်ကမ်းအရာရှိ
ဘူမိဗေဒအရာရှိကြီး
ဘူမိရူပဗေဒအရာရှိကြီး
စာတည်းမှူး
သုတေသနမှူး
သုတေသနအရာရှိကြီး
ပစ္စည်းထိန်းချုပ်
ဒုတိယစာရင်းကိုင်ချုပ်
အလုပ်ရုံမှူး
ဒုတိယလေယာဉ်မှူးကြီး
လ/ထရေကြောင်းဌာနမှူးချုပ်
ရေကြောင်းအင်ဂျင်နီယာချုပ်
ရေယာဉ်အင်ဂျင်နီယာ
ရေယာဉ်မှူးကြီး
ရေယာဉ်မှူး
ရေယာဉ်ဗိသုကာ
ဘူမိဗေဒအရာရှိ
ဘူမိရူပဗေဒအရာရှိ
ဘူမိဓာတုဗေဒအရာရှိ
ဒုတိယစာတည်းမှူးချုပ်
စာတည်း
ပြတိုက်မှူး
စာကြည့်တိုက်မှူး
သုတေသနမှူး
ဒု-သုတေသနမှူး
သုတေသနအရာရှိ
နည်းပြအရာရှိ
လက်ထောက်အင်ဂျင်နီယာ
ဓာတ်ခွဲခန်းမှူး
အလုပ်ရုံမှူး
ဒုတိယအလုပ်ရုံမှူး
အလုပ်ရုံခွဲမှူး
လက်ထောက်လေယာဉ်မှူး
ပျံသန်းရေးအရာရှိ
ရေယာဉ်အင်ဂျင်နီယာ
ရေယာဉ်မှူး
ရေကြောင်းမှူး
လက်ထောက်ရေကြောင်းမှူး
လက်ထောက်ရေယာဉ်အင်ဂျင်နီယာ
လက်ထောက်ရေယာဉ်မှူး
ရေယာဉ်အရာရှိ
လက်ထောက်ရေယာဉ်ဗိသုကာ
ရေငုပ်အရာရှိ
လက်ထောက်ဆိပ်ကမ်းအရာရှိ
ရုံပိုင်ချုပ်ကြီး
လက်ထောက်ဘူမိဗေဒအရာရှိ
လက်ထောက်ဘူမိဓာတုဗေဒအရာရှိ
စာတည်း
လက်ထောက်စာတည်း
သတင်းထောက်မှူး
စာပေစိစစ်ရေးမှူး
အားကစားမှူး
စာကြည့်တိုက်မှူး
လက်ထောက်စာကြည့်တိုက်မှူး
ပြတိုက်မှူး
လက်ထောက်ပြတိုက်မှူး
လုပ်ငန်းအရာရှိ
သုတေသနအရာရှိ
လက်ထောက်သုတေသနအရာရှိ
ဆေးရုံအုပ်
ဒုတိယဆေးရုံအုပ်
လက်ထောက်ဆေးရုံအုပ်
ဆရာဝန်
တာဝန်ခံဆရာဝန်
အဖွဲ့ခေါင်းဆောင်ဆရာဝန်
သူနာပြုအုပ်ကြီး
ဆေးလူမှုဆက်ဆံရေးအရာရှိ
ရဲအုပ်
ဦးစီးမှူး
ကြီးကြပ်ရေးမှူး
စာရင်းစစ်(၁)
စာရင်းစစ်မှူး
စာရင်းအင်းမှူး
ငွေကိုင်(၁)
ပစ္စည်းထိန်း(၁)
လုံခြုံရေး(၁)
သိုလှောင်ရုံမှူး(၁)
ယန္တရားမောင်း(၁)
စက်မောင်း(၁)
ယာဉ်မောင်း(၁)
ယာဉ်မောင်းစက်ပြင်(၁)
လျှပ်စစ်ကျွမ်းကျင်(၁)
အီလက်ထရောနစ်ကျွမ်းကျင်(၁)
အလုပ်ရုံစုမှူး
ဒု-ကြီးကြပ်ရေးမှူး
ဌာနစိတ်မှူး
အငယ်တန်းလက်ထောက်
စနစ်သရုပ်ခွဲမှူး
အငယ်တန်းလက်ရေးတို 
လက်နှိပ်စက်ရိုက်
ကွန်ပျူတာစီစဉ်ရေးမှူး
ကွန်ပျူတာလုပ်ဆောင်ရေးမှူး
စာရင်းစစ်(၂)
ဒု-စာရင်းစစ်မှူး
ငွေကိုင်(၂)
ပစ္စည်းထိန်း(၂)
လုံခြုံရေး(၂)
ကြီးကြပ်ရေးမှူး
သိုလှောင်ရုံမှူး(၂)
ဒု-မီးသတ်ဦးစီးမှူး
လက်ထောက်ဦးစီးမှူး
လ/ထကြီးကြပ်ရေးမှူး
ဒု-အငယ်တန်းလက်ထောက်
အကြီးတန်းလက်နှိပ်စက်ရိုက်
လ/ထကွန်ပျူတာစီစဉ်ရေးမှူး
လ/ထစနစ်သရုပ်ခွဲမှူး
ငွေကိုင်(၃)
လ/ထကွန်ပျူတာလုပ်ဆောင်ရေးမှူး
စာရင်းစစ်(၃)
လ/ထစာရင်းစစ်မှူး
ပစ္စည်းထိန်း(၃)
သိုလှောင်ရုံမှူး(၃)
လုံခြုံရေး(၃)
ယန္တရားမောင်း(၃)
စက်မောင်း(၃)
ယာဉ်မောင်းစက်ပြင်(၃)
ဒု-လက်ထောက်ဦးစီးမှူး
ဒု-လက်ထောက်ကြီးကြပ်ရေးမှူး
အငယ်တန်းလက်နှိပ်စက်ရိုက်
ဒု-လ/ထကွန်ပျူတာစီစဉ်ရေးမှူး
ဒု-လ/ထစနစ်သရုပ်ခွဲမှူး
ငွေကိုင်(၄)
ဒု-လ/ထကွန်ပျူတာ
လုပ်ဆောင်ရးမှူး
စာရင်းစစ်(၄)
ဒု-လ/ထစာရင်းစစ်မှူး
ပစ္စည်းထိန်း(၄)
သိုလှောင်ရုံမှူး(၄)
လုံခြုံရေး(၄)
စာကူးစက်လှည့်
ယန္တရားမောင်း(၄)
စက်မောင်း(၄)
ယာဉ်မောင်း(၄)
စာရင်းကိုင်(၅)
ပစ္စည်းထိန်း(၅)
လုံခြုံရေး(၅)
ရုံးအကူမှူး
လုပ်သားမှူး
စာကူးစက်လှည့်အကူ
စာတွဲထိန်း
အမှုတွဲထိန်း
စာပို့စာလက်ခံ
စာတွဲချုပ်/စာအုပ်ချုပ်
သန့်ရှင်းရေး
ယန္တရားမောင်း(၅)
စက်မောင်း(၅)
ယာဉ်မောင်းစက်ပြင်(၅)
ယာဉ်မောင်း(၅)
လျှပ်စစ်ကျွမ်းကျင်(၅)
အီလက်ထရောနစ်ကျွမ်းကျင်(၅)
စက်မှုစီမံရေး(၅)
ရဲတပ်သား
မီးသတ်တပ်သား
အကျဉ်းထောင်တပ်သား
အစောင့်
လုပ်သား
သန့်ရှင်းရေးအကူ
ရုံးအကူ/စာပို့
ဆင့်စာလုလင်
လုပ်သား(ပဲ့ချိတ်/ပဲ့ထောင်)
သင်္ဘောသားအကူ
စည်ပင်သာယာလုပ်သား(၃)
အကောက်ခွန်ထိန်း
စက်မှုစီမံရေး(၁)
စက်မှုကျွမ်းကျင်(၁)
ထုတ်လုပ်ရေးကျွမ်းကျင်(၁)
လက်မှုကျွမ်းကျင်(၁)
ဂဟေဆက်(၁)
သုတေသနလက်ထောက်(၁)
အငယ်တန်းသုတေသနအရာရှိ(၁)
ဓာတ်ခွဲကျွမ်းကျင်(၁)
ရေယာဉ်အုပ်(၁)
စက်ခန်းအုပ်(၁)
တက်မကိုင်(၁)
သင်္ဘောသား(၁)
ကုန်းပတ်မှူး(နိုင်ငံခြားသွား/ကမ်းရိုးတန်းသွား)
စက်ခန်းမှူး(နိုင်ငံခြားသွား/ကမ်းရိုးတန်းသွား)
ရေယာဉ်ဆက်သွယ်ထောက်ပံ့ရေးမှူး
ရေတိုင်းအုပ်
ရေငုပ်(၁)
ယန္တရားမောင်း(၂)
စက်မောင်း(၂)
ယာဉ်မောင်း(၂)
ယာဉ်မောင်းစက်ပြင်(၂)
အီလက်ထရောနစ်ကျွမ်းကျင်(၂)
လျှပ်စစ်ကျွမ်းကျင်(၂)
အလုပ်ရုံစိတ်မှူး
စက်မှုစီမံရေး(၂)
စက်မှုကျွမ်းကျင်(၂)
ထုတ်လုပ်ရေးကျွမ်းကျင်(၂)
လက်မှုကျွမ်းကျင်(၂)
ဂဟေဆက်(၂)
သုတေသနလက်ထောက်(၂)
အငယ်တန်းသုတေသနအရာရှိ(၂)
ဓာတ်ခွဲကျွမ်းကျင်(၂)
ရေယာဉ်အုပ်(၂)
စက်ခန်းအုပ်(၂)
ယာဉ်မောင်း(၃)
လျှပ်စစ်ကျွမ်းကျင်(၃)
အီလက်ထရောနစ်ကျွမ်းကျင်(၃)
စက်မှုစီမံရေး(၃)
စက်မှုကျွမ်းကျင်(၃)
ထုတ်လုပ်ရေးကျွမ်းကျင်(၃)
လက်မှုကျွမ်းကျင်(၃)
ဂဟေဆက်(၃)
သုတေသနလက်ထောက်(၃)
အငယ်တန်းသုတေသနအရာရှိ(၃)
ဓာတ်ခွဲခန်းကျွမ်းကျင်(၃)
ရေယာဉ်အုပ်(၃)
စက်ခန်းအုပ်(၃)
တက်မကိုင်(၃)
သင်္ဘောသား(၃)
ရေငုပ်(၃)
တိုင်းထွာရေး(၃)
ယာဉ်မောင်းစက်ပြင်(၄)
လျှပ်စစ်ကျွမ်းကျင်(၄)
အီလက်ထရောနစ်ကျွမ်းကျင်(၄)
စက်မှုစီမံရေး(၄)
စက်မှုကျွမ်းကျင်(၄)
ထုတ်လုပ်ရေးကျွမ်းကျင်(၄)
လက်မှုကျွမ်းကျင်(၄)
ဂဟေဆက်(၄)
သုတေသနလက်ထောက်(၄)
အငယ်တန်းသုတေသနအရာရှိ(၄)
ဓာတ်ခွဲခန်းကျွမ်းကျင်(၄)
ရေယာဉ်အုပ်(၄)
စက်ခန်းအုပ်(၄)
တက်မကိုင်(၄)
သင်္ဘောသား(၄)
ရေငုပ်(၄)
တိုင်းထွာရေး(၄)
စက်မှုကျွမ်းကျင်(၅)
ထုတ်လုပ်ရေးကျွမ်းကျင်(၅)
လက်မှုကျွမ်းကျင်(၅)
ဂဟေဆက်(၅)
သုတေသနလက်ထောက်(၅)
အငယ်တန်းသုတေသနအရာရှိ(၅)
ဓာတ်ခွဲကျွမ်းကျင်(၅)
ရေယာဉ်အုပ်(၅)
စက်ခန်းအုပ်(၅)
တက်မကိုင်(၅)
သင်္ဘောသား(၅)
ရေငုပ်(၅)
တိုင်းထွာရေး(၅)
စက်ခေါင်းမှူး(၅)
ဆက်သွယ်ရေး(၅)
ပဲ့ချိတ်/ပဲ့ထောင်မောင်းလက်ထောက်
ရေနံကျွမ်းကျင်(၅)
တိုင်းထွာရေး(၁)
ရုံပိုင်ချုပ်
စက်ခေါင်းမှူး(၁)
အကြီးတန်းလေယာဉ်မောင်
အကြီးတန်းလေေယာဉ်မယ်
ဆက်သွယ်ရေး(၁)
ရေနံကျွမ်းကျင်(၁)
ဘူမိဗေဒလက်ထောက်(၁)
ဘူမိရူပဗေဒလက်ထောက်(၁)
ဘူမိဓာတုဗေဒလက်ထောက်(၁)
သတ္တုဗေဒလက်ထောက်(၁)
သတ္တုတွင်းလက်ထောက်(၁)
အငယ်တန်းအင်ဂျင်နီယာ(၁)
ပုံဆွဲ(၁)
ပုံထုတ်(၁)
ခန့်မှန်း(၁)
လက်သမား(၁)
ပန်းရံ(၁)
လွှသွေး(၁)
တက်မကိုင်(၂)
သင်္ဘောသား(၂)
ရေငုပ်(၂)
တိုင်းထွာရေး(၂)
အငယ်တန်းစက်ခန်းမှူး
(နိုင်ငံခြားသွား/ကမ်းရိုးတန်းသွား)
အငယ်တန်းရေယာဉ်ဆက်သွယ်
ထောက်ပံ့ရေးမှူး
စက်ခေါင်းမှူး(၂)
ဆက်သွယ်ရေး(၂)
ရေနံကျွမ်းကျင်(၂)
ဘူမိဗေဒလက်ထောက်(၂)
ဘူမိရူပဗေဒလက်ထောက်(၂)
ဘူမိဓာတုဗေဒလက်ထောက်(၂)
သတ္တုဗေဒလက်ထောက်(၂)
သတ္တုတွင်းလက်ထောက်(၂)
အငယ်တန်းအင်ဂျင်နီယာ(၂)
ပုံဆွဲ(၂)
ပုံထုတ်(၂)
လ/ထအငယ်တန်းရေယာဉ်
ဆက်သွယ်ထောက်ပံ့ရေးမှူး
စက်ခေါင်းမှူး(၃)
ဆက်သွယ်ရေး(၃)
ရေနံကျွမ်းကျင်(၃)
ဘူမိဗေဒလက်ထောက်(၃)
ဘူမိရူပဗေဒလက်ထောက်(၃)
ဘူမိဓာတုဗေဒလက်ထောက်(၃)
သတ္တုဗေဒလက်ထောက်(၃)
သတ္တုတွင်းလက်ထောက်(၃)
